"1","Paris"
"2","Marseille"
"3","Lyon"
"3","Strasbourg"
"4","Nantes"
"5","Rennes"
"6","Angers"
"7","Toulouse"
"8","Tours"
"9","Nice"
"10","Lille"
"11","Bordeaux"
"12","Brest"
"13","Caen"
